ID;Author;Country;Title;Url;;;
296;;;;;;;
297;"Dobie, J. Frank.	";;Coronado's Children. Dallas (Texas), 1930.;;;;
298;;;;;;;
299;"Dunlop-Liebrecht	";; = Dunlop, J. Geschichte der Prosadichtungen (tr. and revised by F. Liebrecht). Berlin, 1851.;;;;
300;;;;;;;
301;"*Dunlop-Wilson		";; = Dunlop, J. History of Prose Fiction. New edition revised by H. Wilson. 2 vols. London, 1888.;https://archive.org/details/historyofprosefi01dunl;;;
302;;;;;;;
303;"Durkheim, êmile.	";F;Les formes ÈlÈmentaires de la vie religieuse. Paris 1912.;http://classiques.uqac.ca/classiques/Durkheim_emile/formes_vie_religieuse/formes_vie_religieuse.html;;;
304;;;;;;;
305;;;;;;;
306;"EETS				= Early English Text Society Publications. London, 1864 ff.";;;http://www.gutenberg.org/wiki/Early_English_Text_Society_(Bookshelf) , ;;;
307;;;;;;;
308;"Ebding, F.		";;Duala M‰rchen (ZsES XVIII, 142--47).;;;;
309;;;;;;;
310;"Eberhard, Wolfram.	";;Chinese Fairy Tales and Folk Tales. London, 1937.;;;;
311;"Eberhard, Wolfram.	";;"				*Typen chinesischer VolksM‰rchen (FFC CCXX, 1937).";;;;
312;"Eberhard, Wolfram.	";;"				*and Boratav, Pertev. Typen tÅrkischen VolksM‰rchen. Weisbaden, 1953.";;;;
313;;;;;;;
314;Egils saga einhenda ok Asmundar Berserkjabana (in Lagerholm, Drei Lygisîgur, Halle, 1927 pp. 1 ff.).;;;;;;
315;;;;;;;
316;"Ehrenreich, Paul.	";;Die Mythen und Legenden der sÅdamerikanischen Urvîlker. Berlin, 1905.;https://archive.org/details/diemythenundleg00ehregoog ;;;
317;;;;;;;
318;"*Einstein, C. 		";;Afrikanische Legenden. Berlin, 1925.;;;;
319;;;;;;;
320;"Eisler, R.		";;Weltenmantel und Himmelszelt. 2 vols. MÅnchen, 1910.;https://archive.org/details/weltenmantelundh01eisl;;;
321;;;;;;;
322;"*Ellis (Yoruba)	= Ellis, A. B.";;The Yoruba-speaking Peoples of the Slave Coast of West Africa. London, 1894.;https://archive.org/details/yorubaspeakingp00elligoog;;;
323;;;;;;;
324;"*Ellis (Vai)		";; = Ellis, G. W. Negro Culture in West Africa. New York, 1914.;https://archive.org/details/negrocultureinwe017267mbp;;;
325;;;;;;;
326;"Ellis, T. P. and Lloyd, J.	";;The Mabinogion. 2 vols. Oxford, 1929.;http://folkmasa.org/yashpeh/mb_bookp.php?mishtane=114;;;
327;;;;;;;
328;"?Emeneau, M. B.	";;Kota Texts. 4 vols. Berkeley and Los Angeles, 1944--46.;https://catalog.hathitrust.org/Record/000869172;;;
329;;;;;;;
330;"Encyc. Rel. Ethics	";; = Hastings, J. Encyclopaedia of Religion and Ethics. 12 vols. New York, 1908-22.;https://archive.org/details/encyclopaediaofr02hast;;;
331;;;;;;;
332;"Engert, Rolf.		";;Die Sage vom Fliegenden Hol‰nder (Meereskunde, Bd. XV, 7, Heft 173). Berlin, 1927.;;;;
333;;;;;;;
334;"Equilbecq, F. V.	";F;Contes indigËnes de l'Ouest Africain FranÁais. 3 vols. Paris, 1913--16.;http://gallica.bnf.fr/ark:/12148/bpt6k754508;;;
335;;;;;;;
336;"Erminy Arismendi,	";;Santos. Huellas Folkloricas. Caracas, 1954.;;;;
337;;;;;;;
338;"*Espinosa, Aurelio M.	";;Cuentos populares espaÒoles. 3 vols. 2d edition. Madrid, 1946--47.;;;;
339;;;;;;;
340;"Espinosa, Aurelio M., Jr.	";;Cuentos populares de Castilla y Leon. (In press.);;;;
;;;;;;;
;"Espinosa, Aurelio M., Jr.	";;Porto-Rican Folk-Lore. Riddles  - The Journal of American Folklore  - 1916 - vol 19.;https://archive.org/details/jstor-534388 ;;;
;;;;;;;
;"Espinosa, Aurelio M., Jr.	";;New-Mexican Spanish Folk-Lore  - The Journal of American Folklore - 1910 - vol 23,;;;;
341;;;;;;;
342;*Eyrbyggja saga (ed. H. Gering).;;;;;;
343;;;";;;;
";;;;;;;
344;;;;;;;
345;"FAS				= Rafn, C. C. Fornaldar Sîgur Nordrlanda. 3 vols. Kobenhavn, 1829--30.";;;;;;
346;"	*Fb				= Feilberg, H. F. Bidrag til en Ordbog over jyske AlmuesmÜl. 4 vols. Kobenhavn, 1886--1914.";;;;;;
347;;;;;;;
348;"*Feilberg, H. F.	";;Nissens Historie (DF No. 18). Kobenhavn, 1919.;;;;
349;"				*Jul. 2 vols. Kobenhavn, 1904.";;;;;;
350;"				Festskrift til (Svenska LandsmÜl ock svenskt Folkliv). Stockholm, 1911.";;;;;;
351;;;;;;;
352;"*Ferguson, John C.	";;Chinese Mythology (Mythology of all Races VIII). Boston, 1928.;http://archive.org/stream/mythologyofallra08gray#page/n13/mode/2up;;;
353;;;;;;;
354;"*FFC				= FF Communications, published by the Folklore Fellows. Helsinki, 1907 ff.";;;https://de.wikisource.org/wiki/Folklore_Fellows%E2%80%99_Communications;;;
355;;;;;;;
356;"*Field, John E.	";;The Myth of the Pent Cuckoo. London, 1913.;https://archive.org/details/mythofpentcuckoo00fieliala;;;
357;;;;;;;
358;"Fischer, H. and	Bolte, J.";;Die Reise der Sˆhne Giaffers (Bibliothek des Litterarischen Vereins in Stuttgart No. 208). TÅbingen, 1895.;https://archive.org/details/diereisedershn00crisuoft ;;;
359;;;;;;;
360;"*FL				= Folklore. London, 1890 ff.";;;https://en.wikisource.org/wiki/Folk-Lore;;;
361;;;;;;;
362;"Flateyarb¢k		";;(ed. Vigf£sson and Unger). 3 vols. Christiania, 1860--68.;;;;
363;;;;;;;
364;"*FLJ				= Folklore Journal. 8 vols. London, 1883--89.";;;http://folkmasa.org/motiv/motif_bib.htm;;;
365;;;;;;;
